,Exotic,Primitive,Oriental
The American Wing ,69,3,21
Asian Art ,66,24,141
Drawings and Prints,582,18,350
Greek and Roman Art,13,1,291
Modern and Contemporary ,15,35,75
Robert Lehman Collection ,7,10,20
Ancient Near Eastern Art,5,1,605
Brooklyn Museum Costume Collection,17,,30
Egyptian Art ,9,,185
Islamic Art,33,6,618
Musical Instruments,4,5,6
Arms and Armor,23,16,181
The Cloisters,5,4,13
European Paintings,58,151,130
The Libraries,,1,2
Photographs,29,24,281
"Arts of Africa, Oceania, and the Americas",19,3506,53
Costume Institute,47,1,157
European Sculpture and Decorative Arts,278,6,100
Medieval Art,3,11,43
Provenance Research Project,19,18,56
